day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
3	273	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
4	274	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
5	275	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
6	276	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
7	277	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
8	278	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
9	279	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
10	280	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
11	281	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
12	282	0	0	0	10	0	0	0	0.004178983	0.004178983	0	0	0
13	283	0	0	0	10	0	0	0	0.004178983	0.004178983	0	0	0
14	284	0	0	0	10	0	0	0	0.004178983	0.004178983	0	0	0
15	285	0	0	0	10	0	0	0	0.004178983	0.004178983	0	0	0
16	286	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
17	287	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
18	288	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
19	289	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
20	290	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
21	291	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
22	292	0	0	0.017241379	10	0	0	0.017241379	0.004178983	0.004178983	0	0	0
23	293	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
24	294	0	0	0.017241379	10	0	0	0.017241379	0.004077057	0.004077057	0	0	0
